行业,公司名称,企业介绍信息,招聘岗位,岗位JD（中文）,岗位JD（英文）,官网Link,实习时长和实习形式,底价-人民币,交付材料,是否Sponsor,是否注册公司邮箱,公司地址,,,,,,,,
金融科技,Finovax,Finovax 是一家具有前瞻性思维的金融科技研究初创公司，专注于金融数据分析和人工智能应用。该公司利用其无代码开发平台，通过汇总和分析各种数据集，实现更明智的决策，引领金融市场交易员和投资者决策方式的变革。公司总部位于纽约市。其创始人团队曾在花旗、美国银行、德意志银行、微软等多家知名金融和科技公司任职。Finovax 的名称由 fin（金融）、nova（闪亮之星）和 X（科技）组成，代表了我们帮助客户利用金融行业尖端科技的核心使命。,数据分析师实习生Data Analyst Intern,"职责：
• 开发高质量且直观的可视化效果
• 构建仪表板，通过强有力的叙述传达清晰可行的见解，并将其纳入数据源洞察
• 从公司现有的数据存储中提取价值，努力为我们的客户群提供价值
• 响应临时分析请求
• 与内部和外部利益相关者密切合作，了解他们的需求并有效地解决这些请求
• 确定纳入数据源洞察的常见请求
• 支持数据团队开发面向客户的分析产品
• 不时构建连接各种大容量系统的数据管道
• 建立强大的流程来丰富原始数据，使其更容易被利用，并更容易从中提取高价值的见解
• 倡导高产品质量，并根据需要为质量保证流程做出贡献
• 与所有其他管理人员和员工一起负责创造有利于实现卓越生产力和高员工士气的工作环境。
分配的其他职责。

资格：
• 强大的人际交往和沟通能力
• 精通 SQL（最好是 Snowflake、Postgres、MYSQL）
• 金融市场，最好有外汇
• AWS（S3、IAM、Lambda）
• GIT 或其他源代码控制系统。
• 笔记记录工具（Jupyter 或 Zeppelin 等）
• Python（Pandas、Plotly 或 Flask 等）","Duties:
•  Develop high-quality and intuitive visualizations
•  Build dashboards that convey clear actionable insights through strong narrative for inclusion in Data Source Insights
•  Extract value from the company's existing data stores in an effort to deliver value to our client base
•  Respond to ad-hoc analytical requests
•  Work closely with internal and external stakeholders understanding their requirements and resolving these requests efficiently
•  Identify common requests for inclusion in Data Source Insights
•  Support the Data Team's development of client-facing analytical products
•  From time-to-time build data pipelines connecting various high-volume systems
•  Build robust processes that enrich raw data so it is more easily consumed and easy to extract high-value insights from
•  Advocate for high product quality, contributing to the QA process as required Is responsible, along with all other management and staff, for creating a work environment conducive to exceptional productivity and high employee morale.
•  Other duties as assigned.

Qualifications:
•  Strong interpersonal and communication skills
•  Deep knowledge of SQL (Snowflake, postgres, MYSQL preferrable)
•  Financial markets, ideally with foreign exchange
•  AWS (S3, IAM, Lambda)
•  GIT or other source control systems.
•  Note booking tools (Jupyter or Zeppelin etc)
•  Python (Pandas, Plotly, or Flask etc)",https://www.finovax.com/,"远程实习：4周/8周/12周
混合办公：8周（4周实地+4周远程）","远程实习：
4周17000元 / 8周20000元/12周23000元
混合办公：8周28000元",官方offer、推荐信、实习证明、支持背调,免费支持CPT、OPT,是,"100 Church Street, 8th Floor, New York City, New York, 10007, United States of America

纽约",,,,,,,,
,,,商业分析师实习生Business Analyst Intern,"职责：
• 执行项目管理生命周期功能，如需求捕获、规划、跟踪、利益相关者沟通等
• 与金融科技数据受益者和技术开发团队合作，评估新项目的赞助请求
• 组织并报告正在进行的计划的健康状况和执行团队的能力
• 与部门领导和团队建立关系，了解他们的业务，了解他们面临的主要挑战，并确定战略机遇
• 将集团扩展为运营分析、项目管理和沟通方法完善的中心
• 积极开展跨业务线的流程分析和工艺工程评估。
• 推动商业智能数据集的战略发展，以支持更多数据驱动的优先级排序技术
• 与全球数据的其他领导者密切合作，确定我们的技术和分析能力的优先事项

资格：
• 需有学士学位
• 始终展现清晰简洁的书面和口头沟通能力
• 具备卓越的人际交往能力，能够跨组织范围合作并产生影响
• 已证明能够运用复杂的分析、解释和解决问题的技术","Responsibilities:
•  Perform project management life cycle functions such as Requirements Capturing, Planning, Tracking, Stakeholder Communication, and more
•  Work with Fintech Data beneficiaries and technical development teams to evaluate new project requests for sponsorship
•  Organize and report on the health of ongoing initiatives and the capacity of executing teams
•  Establish relationships with leaders and teams across the department to learn their about their business, understand the main challenges they face, and identify the strategic opportunities
•  Expand the group as a center of perfection for operational analysis, project management, and communication methods
•  Actively conduct process analysis and process engineering evaluations across business lines.
•  Drive strategic development of business intelligence datasets to support more data-driven prioritization techniques
•  Closely partner with other leaders throughout Global Data to establish priorities for our Technology and -Analytical capabilities

Qualifications:
•  Bachelor degree required
•  Consistently demonstrate clear and concise written and verbal communication
•  Proven interpersonal skills with ability to partner and influence across organizational lines
•  Proven ability of using complex analytical, interpretive and problem-solving techniques",,"远程实习：4周/8周/12周
混合办公：8周（4周实地+5周远程）","远程实习：
4周17000元 / 8周20000元/12周23000元
混合办公：8周28000元",官方offer、推荐信、实习证明、支持背调,免费支持CPT、OPT,是,,,,,,,,,
,,,股票研究实习生Equity Research Intern,"职责：
• 构建由综合损益表/资产负债表/现金流量表组成的动态行业模型
• 撰写研究报告，包括公司启动，行业观点和收益回顾
• 寻找替代数据集并简化和总结相关行业和公司信息以纳入研究报告
• 进行专有研究，评估竞争格局，并分析行业/公司新闻
• 与行业联系人建立并维持关系
• 帮助高级分析师准备营销活动和会议

资格：
• 积极进取的专业人士，渴望知识，能够在快节奏的环境中工作
• 具备使用 Excel 进行分析和财务建模的强大技能
• 能够清晰简洁地写作
• 有效的口头沟通技巧
• 有效的组织和时间管理技能
• 能够独立工作，同时保持与其他团队成员合作和协作的方式
• 拥有高级学位（MBA）或特许金融分析师 (CFA) 和/或 7、63、86 和 87 系列执照者优先
• 薪酬具有竞争力，并与经验和能力相称","Responsibilities:
•  Building dynamic industry models consisting of integrated Income Statement/Balance Sheet/Cash Flow Statements
•  Writing research reports, including company initiations, industry thought pieces, and earnings recaps
•  Sourcing alternative data sets and simplifying and summarizing relevant industry and company information for inclusion in research reports
•  Conducting proprietary research evaluating the competitive landscape, and analyzing industry/company news
•  Creating and maintaining relationships with industry contacts
•  Helping senior analyst prepare for marketing events and conferences

Qualifications:
•  Highly motivated professional with a thirst for knowledge and an ability to work in a fast-paced environment
•  Strong analytical and financial modeling skills using Excel
•  Ability to write clearly and concisely
•  Effective oral communication skills
•  Effective organizational and time management skills
•  Ability to function independently while maintaining a collegial and collaborative approach to working with other team members
•  An advanced degree (MBA) or CFA and / or Series 7, 63, 86 and 87 licenses is a plus
•  Compensation is competitive and commensurate with experience and capabilities",,"远程实习：4周/8周/12周
混合办公：8周（4周实地+6周远程）","远程实习：
4周17000元 / 8周20000元/12周23000元
混合办公：8周28000元",官方offer、推荐信、实习证明、支持背调,免费支持CPT、OPT,是,,,,,,,,,
,,,会计实习生Accounting Intern,"职责：
•  分析资产数据以支持合并、转让或剥离等，
•  确定并协助实施流程改进
•  创建模型报告以支持不同的分析
•  进行财务分析以支持公司决策
•  参与旨在提高公司运营效率和效益的其他项目
•  参与团队其他临时任务

资格：
•  目前正在攻读会计或金融学士或硕士学位，或有志于未来转为会计/财务分析学位或相关职位的学生
•  多任务处理能力
•  足智多谋、积极主动
•  专业性强
•  分析性思维。
•  具备美国公认会计准则和财务报表的基本知识者优先。
•  出色的书面和口头沟通能力
•  具有使用 Microsoft Office Suite（尤其是 Excel）的经验。","Responsibilities:
•  Analyze asset data to support mergers, transfers or divestitures, etc,
•  Identify and assist implementing process improvements
•  Create model report to support different analysis
•  Conduct financial analysis that supports company decisions
•  Participate in additional projects designed to make company operations more effective and efficient
•  Participate in other ad hoc tasks from the team

Qualifications:
•  Students currently enrolled in a degree program in pursuit of a bachelor or master's degree in Accounting or Finance, or with passion/goal of switching to accounting/financial analysis degree or related positions in the future
•  Ability to multi-task
•  Resourceful and a self-starter
•  Strong professionalism
•  Analytical thinking.
•  Basic knowledge of U.S. GAAP and financial statements is a plus.
•  Excellent written and verbal communication skills
•  Experience with Microsoft Office Suite, especially Excel.",,"远程实习：4周/8周/12周
混合办公：8周（4周实地+7周远程）","远程实习：
4周17000元 / 8周20000元/12周23000元
混合办公：8周28000元",官方offer、推荐信、实习证明、支持背调,免费支持CPT、OPT,是,,,,,,,,,
,,,项目经理实习生Project Manager Intern,"职责：
• 主持团队敏捷仪式（站立会议、梳理、团队回顾和计划会议）。
• 识别和管理项目里程碑、任务、成功指标和风险。
• 通过交接和收尾工作向利益相关者和客户沟通项目状态。
• 作为内部团队请求和项目需求的主要联系人。
• 主持技术会议；跟踪讨论，以总结和记录成果。
• 根据团队需求持续开发和调整流程和方法。
• 管理在整体项目框架内运作的项目路线图。

资格：
• 计算机科学、IT 或相关领域理学学士学位。
• 具备敏捷项目管理方法经验。
• 能够平衡多个优先事项，并能与上级经理进行有效沟通。
• 必须能够在快速发展的环境中应对复杂且技术性强的项目，并能够快速适应变化。","Responsibilities:
•    Facilitate team agile ceremonies (stand-ups, grooming, team retrospective, and planning sessions).
•    Identify and manage project milestones, tasks, success metrics, and risks.
•    Communicate project status to stakeholders and customers through handoff and closeout.
•    Serve as a primary contact for requests and project asks from internal teams.
•    Facilitate technical meetings; follow the discussions in order to summarize and capture outcomes.
•    Continuously develop and adapt processes and methodologies to the team's needs.
•    Manage the roadmap of projects working within the framework of the overall program.

Qualifications:
•    BS degree in Computer Science, IT, or related field.
•    Experience with agile project management methodologies.
•    Ability to balance multiple priorities and drive upwards communication to your manager.
•    Must be comfortable with complex and technical projects in a fast-growing environment and be able to quickly adapt to changes.",,"远程实习：4周/8周/12周
混合办公：8周（4周实地+8周远程）","远程实习：
4周17000元 / 8周20000元/12周23000元
混合办公：8周28000元",官方offer、推荐信、实习证明、支持背调,免费支持CPT、OPT,是,, 一个月实地 一个月远程， 实地是全月都在,,,,,,,
,,,管理咨询顾问实习生Management Consultant Intern,"职责：
• 记录、审查、分析和评估业务流程、系统和用户需求
• 与业务合作伙伴合作，确保在实施与系统、政策和程序增强相关的变更方面的一致性，以解决系统问题和/或流程中断
• 建立/创建/分析与运营功能相关的报告
•  提出流程再造解决方案，以解决当前的流程中断并确定改进的机会领域
•  确保遵守既定的变更控制政策和程序创建/维护

资格：
• 熟练掌握 MS Office 技能，包括 Excel 和 Access
• 以客户服务、团队和目标为导向，并具有高度的紧迫感和专业精神
• 出色的分析能力，注重细节
• 出色的沟通和人际交往能力，可以推动自己和团队完成任务
• 能够与内部和外部客户进行有效的口头和书面沟通
• 展示组织能力和在严格时间内完成工作的能力","Responsibilities:
•    Document, review, analyze, and evaluate business processes, systems, and user needs
•    Work with business partners to ensure consistency in implementing change related to system, policy, and procedural enhancements required to remediate systemic issues and/or process breaks
•    Establish/Create/Analyze reports relevant to Operations functions
•    Propose process reengineering solutions to resolve current process breaks and identify areas of opportunity for improvement
•    Ensure adherence to established Change Control policy and procedure creation/maintenance
Qualifications:
•    Advanced skills in MS Office, including Excel and Access
•    Customer service, team and goal-oriented, enhanced by a high sense of urgency and professionalism
•    Excellent analytical skills with close attention to detail
•    Excellent communication and people skills used to drive self and teams to get tasks completed
•    Ability to communicate effectively both orally and in writing with internal and external customers
•    Demonstrate organizational skills and ability to handle working within strict timelines",,"远程实习：4周/8周/12周
混合办公：8周（4周实地+9周远程）","远程实习：
4周17000元 / 8周20000元/12周23000元
混合办公：8周28000元",官方offer、推荐信、实习证明、支持背调,免费支持CPT、OPT,是,,,,,,,,,
,,,风险投资分析师实习生Venture Capital Analyst Intern,"职责：
•  进行全面的市场研究，以确定人工智能和金融分析领域有前途的初创公司。
•  分析与人工智能驱动的金融产品和服务相关的市场趋势、竞争格局和客户偏好。
•  为高级管理层准备投资备忘录和演示文稿，强调风险和机遇。
•  致力于创建支持投资和内部战略决策的综合报告。
•  协助起草尽职调查报告、投资摘要、募资研究报告。

资格：
•  目前正在攻读金融、商业、经济学或相关领域的学士或硕士学位的学生。
•  对风险投资、初创企业和新兴技术（尤其是人工智能和金融分析）有浓厚的兴趣和知识。
•  具有出色的研究和分析能力，能够解释复杂的数据。
•  熟练掌握财务建模和估值技术。
•  财务报表和投资分析的基本知识。
•  高度的专业精神和对细节的关注。
•  熟练使用 Microsoft Office Suite，尤其是 Excel。
•  具有金融、风险投资或相关领域的实习或工作经验者优先。","Responsibilities:
•  Conduct comprehensive market research to identify promising startups in the AI and financial analytics space.
•  Analyze market trends, competitive landscape, and customer preferences related to AI-driven financial products and services.
•  Prepare investment memos and presentations for senior management, highlighting risks and opportunities.
•  Work on creating comprehensive reports that support decision-making for both investments and internal strategy.
•  Assist in drafting due diligence reports, investment summaries, and capital-raising research reports.
Qualifications:
•  Students currently enrolled in a degree program in pursuit of a bachelor's or master's degree in Finance, Business, Economics, or a related field.
•  Strong interest and knowledge in venture capital, startups, and emerging technologies, particularly AI and financial analytics.
•  Excellent research and analytical skills with the ability to interpret complex data.
•  Proficiency in financial modeling and valuation techniques.
•  Basic knowledge of financial statements and investment analysis.
•  Strong professionalism and attention to detail.
•  Proficiency in Microsoft Office Suite, especially Excel.
•  Prior internship or work experience in finance, venture capital, or related fields is a plus.",,"远程实习：4周/8周/12周
混合办公：8周（4周实地+10周远程）","远程实习：
4周17000元 / 8周20000元/12周23000元
混合办公：8周28000元",官方offer、推荐信、实习证明、支持背调,免费支持CPT、OPT,是,,,,,,,,,
,,,生物研究分析师实习生Biology Research Analyst Intern,"职责：
• 结合主题专业知识和技术技能来研究新的数据集，以扩大覆盖范围并生成与生物行业相关的优质内容。
• 设计统计方法来对我们的数据产品进行质量控制。
• 分析内部流程以确定改进机会并设计新的创新工作流程解决方案来提高效率和质量。
• 构建数据库模式并维护数据采集、工作列表管理和质量控制等关键功能的工作流配置。
• 利用数据可视化技能报告正在进行的运营和项目的结果。
• 与内部利益相关者（主要是核心产品、技术运营、工程和销售）广泛合作。
资格：
• 拥有学士学位，最好是生物学、信息系统、金融或相关 STEM 领域的综合研究。
• 具有生物学或相关领域的经验。
• 已证明有能力利用技术创新数据产品和流程。
• 熟练运用一种或多种编程/脚本语言（例如 Python、R、Java）以及 SQL。
• 具有使用统计和机器学习方法解决实际问题的经验。
• 出色的书面和口头沟通能力，尤其是向业务利益相关者和管理层解释技术流程和解决方案时。
• 高度关注细节，并具有高度的决策和解决问题的能力。
• 能够独立工作以及在团队环境中工作。","Responsibilities:
•    Combine subject-matter-expertise and technical skills to research new data sets to expand coverage and generate premium content related to the biology industry.
•    Design statistical methods to perform quality control of our data products.
•    Analyze internal processes to identify opportunities for improvement and devise new innovative workflow solutions to enhance efficiency and quality.
•    Build database schemas and maintain workflow configurations for critical functions such as data acquisition, worklist management, and quality control.
•    Utilize data visualization skills to report on the results of ongoing operations and projects.
•    Collaborate extensively with internal stakeholders (primarily Core Product, Technical Operations, Engineering, and Sales).
Qualifications:
•    A bachelor's degree, preferably with combined studies in Biology, Information Systems, Finance, or related STEM fields.
•    Experience in the biology sector or a related field.
•    Proven ability to use technology to innovate data products and processes.
•    Applied proficiency with one or more programming/scripting languages (e.g., Python, R, Java) as well as SQL.
•    Experience using statistical and machine learning methods to solve real-world problems.
•    Excellent written and verbal communication skills, especially when explaining technical processes and solutions to business stakeholders and management.
•    Strong attention to detail and a high degree of demonstrated decision-making and problem-solving skills.
•    Ability to work independently as well as in a team environment.",,"远程实习：4周/8周/12周
混合办公：8周（4周实地+11周远程）","远程实习：
4周17000元 / 8周20000元/12周23000元
混合办公：8周28000元",官方offer、推荐信、实习证明、支持背调,免费支持CPT、OPT,是,,,,,,,,,
,,,数字营销实习生Digital Marketing Intern,"职责：
• 通过优化内容和进行关键字研究来支持 SEO 策略，以增加有机搜索结果和知名度。
• 与营销团队合作，创建符合 Finovax 品牌和目标的引人注目的博客文章、新闻通讯和白皮书。
• 使用 Google Analytics 等工具监控数字营销趋势和分析，报告营销绩效并确定需要改进的领域。
• 与在线社区、客户和潜在客户互动，以建立品牌知名度并发展在线形象。
• 开展全面的行业研究，以洞察金融分析市场的趋势。分析竞争对手的营销策略和产品，以对标并改进我们的方法。
• 收集并分析各个数字平台上的客户反馈，以了解消费者与金融分析产品相关的行为和偏好。利用这些数据来指导和优化营销策略。

资格：
• 目前正在攻读或刚刚毕业，拥有市场营销、传播、工商管理或相关领域的学位。
• 深入了解数字营销概念，包括 SEO、社交媒体营销和内容营销。
• 具有使用 Google Analytics 和社交媒体分析等数字分析工具的经验。
• 出色的口头和书面沟通能力，能够创作清晰且有说服力的内容。
• 具有创造性思维，具有很强的解决问题能力并注重细节。
• 能够在快节奏、团队导向的环境中工作。
• 具有数字营销或社交媒体职位经验者优先。","Responsibilities:
•  Support SEO strategies by optimizing content and conducting keyword research to increase organic search results and visibility.
•  Collaborate with the marketing team to create compelling blog posts, newsletters, and white papers that align with Finovax's branding and objectives.
•  Monitor digital marketing trends and analytics, using tools like Google Analytics, to report on marketing performance and identify areas for improvement.
•  Engage with online communities, customers, and potential clients to build brand awareness and develop an online presence.
•  Conduct comprehensive industry research to identify trends in the financial analytics market. Analyze competitors' marketing strategies and product offerings to benchmark and refine our approach.
•  Gather and analyze customer feedback across various digital platforms to understand consumer behavior and preferences related to financial analytics products. Use this data to inform and optimize marketing strategies.

Qualifications:
•  Currently pursuing or recently graduated with a degree in Marketing, Communications, Business Administration, or a related field.
•  Strong understanding of digital marketing concepts, including SEO, social media marketing, and content marketing.
•  Experience with digital analytics tools such as Google Analytics and social media analytics.
•  Excellent verbal and written communication skills, with the ability to create clear and persuasive content.
•  Creative thinker with strong problem-solving skills and attention to detail.
•  Ability to work in a fast-paced, team-oriented environment.
•  Prior experience in a digital marketing or social media role is a plus.",,"远程实习：4周/8周/12周
混合办公：8周（4周实地+12周远程）","远程实习：
4周17000元 / 8周20000元/12周23000元
混合办公：8周28000元",官方offer、推荐信、实习证明、支持背调,免费支持CPT、OPT,是,,,,,,,,,
,,,软件开发工程师实习生SDE Intern,"职责：
•  设计和增强数据提取和处理管道，以有效处理实时财务数据。
• 开发和完善回溯测试框架，以评估交易策略对历史数据的有效性。
• 协作设计和实施强大、可扩展且安全的模拟实时交易系统。
• 参与正在进行的研究，探索新技术、工具和方法，以提升系统性能和功能。密切关注前端技术，包括 HTML、CSS、JavaScript 和现代框架/库。
资格：
• 目前正在攻读计算机科学、工程、金融或相关领域的学士或硕士学位。
• 精通 Python，具有使用 pandas、NumPy 和 scikit-learn 等库的经验。
• 具备强大的 SQL 技能，并具有数据库设计和开发经验。
• 熟悉前端技术（HTML、CSS、JavaScript）和框架/库（Flask、React、Angular）。
• 了解软件开发生命周期和版本控制系统，例如 Git。
• 出色的解决问题能力以及在快节奏、协作的环境中工作的能力。
• 具有金融市场、交易系统或金融科技解决方案方面的经验或兴趣者优先。","Responsibilities:
•  Design and enhance data ingestion and processing pipelines to handle real-time financial data efficiently.
•  Develop and refine backtesting frameworks to evaluate the effectiveness of trading strategies over historical data.
•   Collaborate on the design and implementation of simulated live trading systems that are robust, scalable, and secure.
•   Participate in ongoing research to explore new technologies, tools, and methodologies to improve system performance and capabilities. Work closely with front-end technologies, including HTML, CSS, JavaScript, and modern frameworks/libraries.

Qualifications:
•  Currently pursuing a Bachelor's or Master's degree in Computer Science, Engineering, Finance, or a related field.
•  Proficient in Python, with experience in using libraries like pandas, NumPy, and scikit-learn.
•  Strong SQL skills with experience in database design and development.
•  Familiarity with front-end technologies (HTML, CSS, JavaScript) and frameworks/libraries (Flask, React, Angular).
•  Knowledge of software development lifecycle and version control systems, such as Git.
•  Excellent problem-solving skills and the ability to work in a fast-paced, collaborative environment.
•  Prior experience or interest in financial markets, trading systems, or fintech solutions is highly desirable.",,"远程实习：4周/8周/12周
混合办公：8周（4周实地+13周远程）","远程实习：
4周17000元 / 8周20000元/12周23000元
混合办公：8周28000元",官方offer、推荐信、实习证明、支持背调,免费支持CPT、OPT,是,,,,,,,,,
,permitfolio,permitfolio 美国纽约华尔街金融科技公司,部门：产品/研究,"职责
1• 组合分析与诊断：基于持仓/样例组合，分析风险点(At Risk)、偏离原因、可行配置区间，并提出调整思路。
2.约束/规则抽象：把"文字版规则/约束"拆成结构化字段与可计算逻辑（条件、阈值、例外、适用范国)，沉淀成可复用模板。
3.指标与口径建设：协助定义并验证关键指标口径(例如 uplift(bps)、闲置资金机会、覆盖率/命中率、风险解释等），确保可复现、可对账。
4.数据处理与资产映射：维护资产分类与关键属性（期限、评级、发行人类型、流动性等）数据清洗、缺失处理、异常排查。
5. 产品协作与输出：将分析结论写成"产品可用"的解释文本/报告段落，和PM/工程一起
把结果落到 dashboard 体验里。

适合：金融/经济/数理/统计/工科/法律等相关方向
要求：数据能力，Excel熟练；python或sQL至少一个能独立完成数据处理与验证 (pandas/基础统计/对账)）。","Responsibilities:
Portfolio Analysis & Diagnosis: Based on holding/ sample portfolios, analyze risk points (At Risk), causes of deviation, feasible allocation ranges, and propose adjustment strategies.
Constraint/Rule Abstraction: Deconstruct text-based rules/constraints into structured fields and computable logic (conditions, thresholds, exceptions, scope of application), and develop them into reusable templates.
Indicator & Caliber Establishment: Assist in defining and validating the caliber of key indicators (e.g., uplift (bps), idle fund opportunities, coverage rate/hit rate, risk interpretation, etc.) to ensure reproducibility and reconcilability.
Data Processing & Asset Mapping: Maintain asset classification and key attributes (tenor, rating, issuer type, liquidity, etc.); conduct data cleaning, missing value handling and anomaly detection.
Product Collaboration & Output: Translate analysis conclusions into product-ready explanatory texts/report sections, and work with PMs and engineering teams to integrate results into the dashboard experience.
Ideal Background
Relevant academic backgrounds in Finance, Economics, Mathematics, Statistics, Engineering, Law, or other related fields.
Job Requirements
Strong data proficiency and skilled in Excel.
Proficient in at least one of Python or SQL, capable of independently completing data processing and validation (pandas/basic statistics/reconciliation).",,远程实习：4周/8周/12周,"远程实习：
4周8000元 / 8周9000元/12周10000元",官方offer、推荐信、实习证明、支持背调,免费支持CPT、OPT,是,,,,,,,,,
人工智能/科技,Convoloo,Convoloo公司总部位于美国加州，该公司的 AI 解决方案广泛覆盖医疗健康、生物制药、制造业、机器人技术、金融、消费品、教育、娱乐等多个行业。其管理和技术团队成员均来自行业顶尖企业，包括前 Google AI 专家、前 Amazon 计算机视觉专家，以及前德勤、埃森哲的数据科学家。能提供定制化专业咨询服务。业务涵盖医院病床管理、招聘系统、助力小型商户、保险数字化，气味分类等领域，实现流程自动化、优化及业务决策提升。该公司以满足全球客户需求为导向，不断创新，致力于利用AI推动企业创新与增长。,UI/UX设计实习生 UI/UXDesign Intern,"主要职责
- 设计和实现用户友好，美观的数字界面。你的工作将直接影响我们产品的可用性和用户满意
度，与我们的目标一致。
- 设计和迭代跨多个平台的UX/UI方面，确保一致和引人入胜的用户体验。
- 与产品经理，开发人员和其他利益相关者合作，了解需求并将其转化为设计解决方案。
- 进行用户研究和可用性测试，以收集见解并确定需要改进的地方。
- 创建线框图、故事板、用户流和模型，以有效地沟通交互和设计思想。
- 保持更新的设计趋势，标准和技术，使我们的产品处于以用户为中心的设计的最前沿。

招聘条件
- 当前在美国或者其它英语国家在读的图形设计、交互设计或类似领域的相关本科或
研究生。
- 基本了解UX/UI设计工具，如Sketch、Adobe XD、Figma等。
- 创造性解决问题的能力。
- 能够接受反馈并利用它来改进你的工作。
- 较强的沟通能力和团队合作能力","Key responsibilities: 
- Design and implement user-friendly, aesthetically pleasing digital interfaces. Your 
work will directly impact our product's usability and our users' satisfaction, aligning 
with our goal. 
- Design and iterate on UX/UI aspects of cross multiple platforms, ensuring a 
consistent and engaging user experience. 
- Collaborate with Product Managers, Developers, and other stakeholders to 
understand requirements and translate them into design solutions. 
- Conduct user research and usability testing to gather insights and identify areas for 
improvement. 
- Create wireframes, storyboards, user flows, and mockups to effectively communicate 
interaction and design ideas. 
- Stay updated on the latest design trends, standards, and technologies to keep our 
products at the forefront of user-centric design. 

Recruitment Requirement :
- Current enrollment in a related undergraduate or graduate degree program such as 
Graphic Design, Interaction Design, or a similar field. Must be in US or other English 
Speaking countries.- Basic understanding of UX/UI design tools such as Sketch, Adobe XD, Figma, or 
similar. 
- Creative problem-solving skills. 
- Ability to receive feedback and use it to improve your work. 
- Strong communication skills and the ability to work in a team environment. 
- Compensation:",https://www.convoloo.com/,远程实习：4周/8周/12周,"远程实习：
4周17000元 / 8周20000元/12周23000元",官方offer、推荐信、实习证明、支持背调,免费支持CPT，不支持OPT,是,"650 California St, San Francisco, CA 94108 

加州",,,,,,,,
